VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,1/1/2019 0:12,1/1/2019 0:33,1,3.13,1,N,161,239,2,14.5,0.5,0.5,0,0,0.3,15.8,
2,1/1/2019 0:35,1/1/2019 0:43,1,1.07,1,N,239,48,2,7.5,0.5,0.5,0,0,0.3,8.8,
2,1/1/2019 0:48,1/1/2019 0:56,1,0.77,1,N,143,48,2,6.5,0.5,0.5,0,0,0.3,7.8,
2,1/1/2019 0:42,1/1/2019 0:55,1,2.12,1,N,237,263,1,10,0.5,0.5,2.26,0,0.3,13.56,
2,1/1/2019 0:39,1/1/2019 1:42,2,20.01,2,N,132,50,2,52,0,0.5,0,5.76,0.3,58.56,
1,1/1/2019 0:23,1/1/2019 0:32,2,1.4,1,N,238,236,2,8,0.5,0.5,0,0,0.3,9.3,
1,1/1/2019 0:36,1/1/2019 0:45,3,0.7,1,N,236,262,1,7,0.5,0.5,2.45,0,0.3,10.75,
1,1/1/2019 0:22,1/1/2019 0:40,2,2.8,1,N,249,162,2,13.5,0.5,0.5,0,0,0.3,14.8,
1,1/1/2019 0:47,1/1/2019 0:52,1,1,1,N,236,140,2,6,0.5,0.5,0,0,0.3,7.3,
1,1/1/2019 0:55,1/1/2019 1:03,4,1.9,1,N,140,162,2,8,0.5,0.5,0,0,0.3,9.3,
2,1/1/2019 0:28,1/1/2019 0:31,1,0.76,1,N,142,239,1,4.5,0.5,0.5,2,0,0.3,7.8,
2,1/1/2019 0:33,1/1/2019 0:46,1,3.6,1,N,239,68,1,13.5,0.5,0.5,2,0,0.3,16.8,
2,1/1/2019 0:59,1/1/2019 1:19,2,3.8,1,N,246,43,2,16.5,0.5,0.5,0,0,0.3,17.8,
2,1/1/2019 0:11,1/1/2019 0:46,5,21.42,2,N,132,87,1,52,0,0.5,11.71,5.76,0.3,70.27,
2,1/1/2019 0:19,1/1/2019 1:03,1,10.84,1,N,114,198,2,37.5,0.5,0.5,0,0,0.3,38.8,
1,1/1/2019 0:11,1/1/2019 0:23,2,3.6,1,N,161,41,1,12.5,0.5,0.5,2.5,0,0.3,16.3,
1,1/1/2019 0:38,1/1/2019 1:08,4,3.2,1,N,161,249,2,18.5,0.5,0.5,0,0,0.3,19.8,
2,1/1/2019 0:14,1/1/2019 0:17,2,0.78,1,N,236,236,1,4.5,0.5,0.5,1.16,0,0.3,6.96,
2,1/1/2019 0:20,1/1/2019 0:30,1,1.71,1,N,236,142,2,8.5,0.5,0.5,0,0,0.3,9.8,
2,1/1/2019 0:36,1/1/2019 0:46,2,2.28,1,N,43,151,1,9.5,0.5,0.5,2.16,0,0.3,12.96,
2,1/1/2019 0:56,1/1/2019 1:04,2,1.57,1,N,238,41,1,8,0.5,0.5,1.86,0,0.3,11.16,
2,1/1/2019 0:27,1/1/2019 0:42,1,2.8,1,N,113,229,2,12,0.5,0.5,0,0,0.3,13.3,
2,1/1/2019 0:46,1/1/2019 0:53,1,1.18,1,N,141,262,1,7,0.5,0.5,1.66,0,0.3,9.96,
1,1/1/2019 0:21,1/1/2019 0:26,2,0.4,1,N,233,233,2,4.5,0.5,0.5,0,0,0.3,5.8,
1,1/1/2019 0:49,1/1/2019 0:56,1,1,1,N,113,79,2,6,0.5,0.5,0,0,0.3,7.3,
1,1/1/2019 0:56,1/1/2019 1:26,4,6,1,N,79,75,1,24,0.5,0.5,5.05,0,0.3,30.35,
2,1/1/2019 0:10,1/1/2019 0:17,5,1.32,1,N,42,41,2,7,0.5,0.5,0,0,0.3,8.3,
2,1/1/2019 0:32,1/1/2019 0:54,3,3.65,1,N,43,224,2,15.5,0.5,0.5,0,0,0.3,16.8,
1,1/1/2019 0:32,1/1/2019 0:33,0,5.3,1,N,50,50,1,2.5,0.5,0.5,0.75,0,0.3,4.55,
1,1/1/2019 0:36,1/1/2019 0:42,1,1.4,1,N,50,239,1,6.5,0.5,0.5,1.55,0,0.3,9.35,
1,1/1/2019 0:44,1/1/2019 0:48,3,0.6,1,N,238,238,2,4.5,0.5,0.5,0,0,0.3,5.8,
1,1/1/2019 0:52,1/1/2019 1:27,2,14.4,1,N,238,98,2,42,0.5,0.5,0,5.76,0.3,49.06,
2,1/1/2019 0:28,1/1/2019 0:34,1,1.43,1,N,14,228,2,7,0.5,0.5,0,0,0.3,8.3,
